cellid,enbrnc,xarfcn,unit,band,fc,signal,lat,lon,speed,rsrq,ss,WindGust,Pressure,Precip
10118668,39526,876,52,2,1957.6,-69,39.0347194,-94.5820009,1.3,-11,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0346934,-94.5820024,1.2,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-81,39.0347026,-94.5819835,1.2,-13,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-86,39.0347392,-94.5819002,1.2,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-80,39.0347746,-94.5818309,1.2,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-80,39.0348187,-94.5817193,1.3,-14,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-93,39.0348189,-94.581632,1.2,-19,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-93,39.0348333,-94.581564,1.2,-19,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.0348481,-94.5814911,1.2,-11,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.034837,-94.5813795,1.2,-11,30,30,28.78,0
25670668,100276,876,112,2,1957.6,-85,39.0348311,-94.581288,1.1,-9,28,30,28.78,0
25670668,100276,876,112,2,1957.6,-85,39.0348293,-94.5812087,1.1,-9,28,30,28.78,0
25670668,100276,876,112,2,1957.6,-85,39.0348395,-94.5811576,1.2,-9,28,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.034847,-94.5811108,1.2,-13,31,30,28.78,0
25670668,100276,876,112,2,1957.6,-83,39.0348175,-94.5810594,1.3,-13,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-88,39.0347507,-94.5810001,1.6,-14,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-88,39.0347026,-94.580947,1.6,-14,30,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0346672,-94.5809278,0.9,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-84,39.0347112,-94.5808142,1.7,-15,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.0347188,-94.5807384,1.6,-11,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-83,39.034731,-94.5806559,1.4,-11,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-87,39.0347421,-94.5805574,1.4,-16,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-87,39.034783,-94.5805047,1,-16,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0347665,-94.5803938,1.5,-17,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0347381,-94.5802798,1.5,-17,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0347222,-94.580212,1.5,-16,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-82,39.0347104,-94.5801775,1.5,-16,31,30,28.78,0
10118668,39526,876,52,2,1957.6,-80,39.0347079,-94.5801307,0.5,-14,31,30,28.78,0
