cellid,sigl,acc,bearing,alt,rsrq,rssnr,ta,WindSpeed,WindGust,Precip
5125645,4,48.2,24.2,250,-15,7.6,-1,7 ,0 ,0.3 
5125645,4,53.4,204.2,249.9,-15,7.2,-1,7 ,0 ,0.3 
5125645,4,48.1,213,250,-14,9.8,-1,7 ,0 ,0.3 
5125645,4,40.7,28.9,249.9,-9,7.2,-1,7 ,0 ,0.3 
5125645,4,43.1,31.3,250,-12,10.2,-1,7 ,0 ,0.3 
5125645,4,125.8,31.7,249.8,-12,10.2,-1,7 ,0 ,0.3 
5125645,4,57.4,185.9,249.9,-10,8.6,-1,7 ,0 ,0.3 
5125645,4,100.8,6.5,249.9,-14,10.4,-1,7 ,0 ,0.3 
5125645,4,89.3,208,250,-10,8.6,-1,7 ,0 ,0.3 
5125645,4,125.7,107,250,-12,8.6,-1,7 ,0 ,0.3 
5125645,4,197.6,155.8,249.9,-12,6.8,-1,7 ,0 ,0.3 
5125645,4,49.9,137.2,249.8,-12,9.6,-1,7 ,0 ,0.3 
5125645,4,738.7,0,249.9,-14,4,1,12 ,0 ,0.2 
5125645,4,15,124.9,249.9,-10,7.6,-1,12 ,0 ,0.2 
5125645,4,15,184.6,249.8,-10,6.8,-1,12 ,0 ,0.2 
5125645,4,15.1,289.6,249.9,-12,4,-1,12 ,0 ,0.2 
5125645,4,15.1,242.5,249.9,-12,7.2,-1,12 ,0 ,0.2 
5125645,4,15,205.2,250,-15,8.2,-1,12 ,0 ,0.2 
5125645,4,142.7,112.9,249.8,-10,5.8,-1,12 ,0 ,0.2 
5125645,4,25,19.8,249.8,-13,9.8,-1,12 ,0 ,0.2 
5125645,4,15.1,14.7,250,-13,10.6,-1,12 ,0 ,0.2 
5125645,4,140.7,91.1,250,-14,8.6,-1,12 ,0 ,0.2 
5125645,4,16.4,175,249.8,-13,11.4,-1,12 ,0 ,0.2 
5125645,4,16.4,357.1,249.8,-13,12.8,-1,12 ,0 ,0.2 
5125645,4,15,239,249.9,-11,10.6,-1,12 ,0 ,0.2 
5125645,4,28.6,18.2,249.8,-13,8,0,12 ,0 ,0.2 
5125645,4,32.1,279.6,246.9,-12,9.2,-1,12 ,0 ,0.2 
5125645,4,42.8,246.1,250,-13,14,-1,12 ,0 ,0.2 
5125645,4,45.9,231,249.9,-13,14,-1,12 ,0 ,0.2 
5125645,4,42,276.2,250,-15,14,-1,12 ,0 ,0.2 
5125645,4,36.4,194.6,249.8,-15,11.6,-1,12 ,0 ,0.2 
5125645,4,23.1,206.5,249.9,-13,13,-1,12 ,0 ,0.2 
5125645,4,33.4,208.1,249.8,-14,13,-1,12 ,0 ,0.2 
5125645,4,18.2,114.8,250,-11,10.8,-1,12 ,0 ,0.2 
5125645,4,21.1,52.5,249.9,-11,10.4,-1,12 ,0 ,0.2 
5125645,4,26,53.1,249.8,-9,12.4,-1,12 ,0 ,0.2 
5125645,4,30.6,54.7,249.9,-9,11.4,-1,12 ,0 ,0.2 
5125645,4,30.1,264.7,249.9,-12,8.8,-1,12 ,0 ,0.2 
5125645,4,26.1,335.9,249.9,-14,12.2,1,12 ,0 ,0.2 
5125645,4,45,33.1,249.9,-14,10,1,12 ,0 ,0.2 
5125645,4,32.2,17.6,249.8,-13,10,-1,12 ,0 ,0.2 
5125645,4,52.5,68.1,250,-13,11.2,-1,12 ,0 ,0.2 
